sample_id,selection_group,selection_role,selection_tier,distance_stratum,cluster,grid_id,center_lon,center_lat,center_x_3003,center_y_3003,distance_percentile,distance_to_medoid_k7,relative_assignment_margin,second_nearest_cluster,cleanup_cluster,cleanup_changed,within_cluster_weight,citywide_nonmedoid_weight,bldheight,blddensity,vertohor,treecover,grasscover,charlength,assigned_class_medoid_rmse_c_precision1,assigned_four_rmse_c_precision1,oracle_four_rmse_c_precision1,assigned_class_medoid_rmse_c,assigned_four_rmse_c,oracle_four_rmse_c,four_minus_class_medoid_rmse_c,assignment_regret_vs_oracle_c
C2_risk_boundary_3538,purposive_stress,risk_boundary,not_applicable,D50_75,2,3538,7.658085315435572,45.04774674328853,1394350.0,4989150.0,0.597948717948718,0.9210328157311874,0.0003667822651883,4,2,False,0.0,0.0,15.332529849977954,0.1335818128592212,0.3779668433755748,0.1019535640766079,0.1407846621754709,500.0,0.0511176456679113,0.0511176456679113,0.0511176456679113,0.0336351037679305,0.0336351037679305,0.0336351037679305,0.0,0.0
C2_risk_morphology_extreme_4840,purposive_stress,risk_morphology_extreme,not_applicable,D95_100,2,4840,7.632417172824984,45.0591443053344,1392350.0,4990450.0,1.0,3.2671801998390673,0.0725377933321536,4,2,False,0.0,0.0,9.70410080595074,0.0540198735042713,0.1130332791792064,0.2311076811590006,0.0634011147552222,500.0,0.0433605464253089,0.0433605464253089,0.0433605464253089,0.0256538002205019,0.0256538002205019,0.0256538002205019,0.0,0.0
C3_distance_stratified_random_10466,probability_sample,distance_stratified_random,preferred,D00_25,3,10466,7.644071262814499,45.103391319813866,1393350.0,4995350.0,0.2493625701172871,0.565959510695763,0.4260473237345311,2,3,False,0.0832908380078191,0.0154291831979343,10.51361091877159,0.1916225755285484,0.3912472496807201,0.0320245134010453,0.2358163419587765,500.0,0.0332590496491051,0.0663290538074789,0.0501140252336026,0.0118047954809489,0.0502324175832271,0.0309327725159759,0.0384276221022782,0.0192996450672512
C3_distance_stratified_random_10740,probability_sample,distance_stratified_random,preferred,D25_50,3,10740,7.724086993343994,45.10611398716558,1399650.0,4995550.0,0.279449260581336,0.5838462743542491,0.4966873009604693,0,3,False,0.0832908380078191,0.0154291831979343,9.734118312551464,0.2758197105810806,0.3124475080960535,0.0,0.169415666713305,500.0,0.0303330071737194,0.05672774038934,0.05672774038934,0.0120765112216927,0.0408394059411443,0.0408394059411443,0.0287628947194515,0.0
C3_distance_stratified_random_10776,probability_sample,distance_stratified_random,preferred,D95_100,3,10776,7.637653553693367,45.10601539161907,1392850.0,4995650.0,0.9648138704742478,1.105031656145676,0.1543687582414042,1,3,False,0.0168281489036206,0.0031173247685622,15.448825218926345,0.0898207509603213,0.3198808803950236,0.0205019600424881,0.3181638317655594,500.0,0.0587639034359696,0.0846426816780035,0.0301063563730971,0.0370481868744602,0.0747200819008478,0.0113888614173481,0.0376718950263875,0.0633312204834996
C3_distance_stratified_random_10804,probability_sample,distance_stratified_random,preferred,D00_25,3,10804,7.673234987248974,45.1064344675592,1395650.0,4995650.0,0.0168281489036206,0.2634172958343965,0.7726993993786417,5,3,False,0.0832908380078191,0.0154291831979343,11.162503073842188,0.255529752471564,0.3920299134348798,0.0150013027162528,0.1210743797961452,500.0,0.0342232797480359,0.0492524018374534,0.0492524018374534,0.0125135634176038,0.0303975204017588,0.0303975204017588,0.0178839569841549,0.0
C3_distance_stratified_random_11018,probability_sample,distance_stratified_random,preferred,D50_75,3,11018,7.682089033034649,45.10833734507284,1396350.0,4995850.0,0.706272310045895,0.7980868009192229,0.4126006456393848,5,3,False,0.0832908380078191,0.0154291831979343,7.880972533928824,0.3211789866472918,0.403179982310748,0.0179818764259659,0.0753110162318257,500.0,0.0445935474579657,0.0448869711904066,0.0448869711904066,0.0216227910160599,0.026076455028422,0.026076455028422,0.004453664012362,0.0
C3_distance_stratified_random_11282,probability_sample,distance_stratified_random,preferred,D25_50,3,11282,7.664234567343398,45.110830304580006,1394950.0,4996150.0,0.3278939316675165,0.6141180311103154,0.4531255600704963,2,3,False,0.0832908380078191,0.0154291831979343,8.746975781095049,0.2223935638591724,0.3775562785216366,0.0394469950005545,0.1251579245517607,500.0,0.0239148031189716,0.0619876258089036,0.0557841567662246,0.0073130973392991,0.0457387234399672,0.0359581377609141,0.0384256261006681,0.0097805856790531
C3_distance_stratified_random_11492,probability_sample,distance_stratified_random,preferred,D25_50,3,11492,7.707404144004054,45.1131275819414,1398350.0,4996350.0,0.3064762876083631,0.6013737894122669,0.3074232324991531,2,3,False,0.0832908380078191,0.0154291831979343,12.072589967820203,0.2059092078350818,0.1883870193454635,0.0391610008564085,0.1881521655512215,500.0,0.0451279257263758,0.0734582787809596,0.0452920507706782,0.0273579561107382,0.0636804244739874,0.0235877817415836,0.0363224683632492,0.0400926427324038
C3_distance_stratified_random_11643,probability_sample,distance_stratified_random,preferred,D75_95,3,11643,7.725157380979479,45.115127532707255,1399750.0,4996550.0,0.7562468128505865,0.8298257571537605,0.1450102910992854,0,3,False,0.0666326704062553,0.0123433465583475,9.698534981765302,0.2409322983648292,0.0599455144623435,0.0,0.0811867969851183,500.0,0.076480815035492,0.1057210510696399,0.0607318381442844,0.0656276780275492,0.0984640096035836,0.0435557533853799,0.0328363315760344,0.0549082562182037
C3_distance_stratified_random_12052,probability_sample,distance_stratified_random,preferred,D95_100,3,12052,7.728850448356759,45.12056965995841,1400050.0,4997150.0,0.9612442631310556,1.0870862796118788,0.3099174979064906,1,3,False,0.0168281489036206,0.0031173247685622,12.128046057381871,0.3550267966947054,0.1369556295460754,0.0,0.280305930218506,500.0,0.0575766314849235,0.0572286130816669,0.0572286130816669,0.0401205062633941,0.0434110503470883,0.0434110503470883,0.0032905440836942,0.0
C3_distance_stratified_random_12177,probability_sample,distance_stratified_random,preferred,D50_75,3,12177,7.709743153840266,45.12215561878387,1398550.0,4997350.0,0.6287608363080062,0.7589197842938932,0.0078300651125802,0,3,False,0.0832908380078191,0.0154291831979343,8.163564081707985,0.1080974464428791,0.2409421511957399,0.0311926095067831,0.1702464606013707,500.0,0.0669883790099031,0.0984120496019126,0.0315866569135951,0.0518905922267595,0.0900321536931675,0.0135536183647118,0.038141561466408,0.0764785353284556
C3_distance_stratified_random_2189,probability_sample,distance_stratified_random,preferred,D75_95,3,2189,7.665974183025491,45.03613700617376,1394950.0,4987850.0,0.7842937276899541,0.8504359247055576,0.0965454840615478,5,3,False,0.0666326704062553,0.0123433465583475,16.000323662639722,0.2381414946809341,0.4167073694829841,0.0134732952604101,0.0180670569455519,500.0,0.0506577737929935,0.0393584394760624,0.0393584394760624,0.0276624137128359,0.0184334573967601,0.0184334573967601,-0.0092289563160757,0.0
C3_distance_stratified_random_5499,probability_sample,distance_stratified_random,preferred,D75_95,3,5499,7.716119443039516,45.06461718222125,1398950.0,4990950.0,0.8577256501784803,0.9132951743834214,0.2030343063680921,1,3,False,0.0666326704062553,0.0123433465583475,11.316315550840114,0.1614042513256298,0.5312478913547174,0.0053653698784111,0.3104206299376459,500.0,0.0331042355440947,0.0657152429097308,0.0526576779798379,0.0136145025750226,0.0470739290321144,0.0355062056444983,0.0334594264570918,0.0115677233876161
C3_distance_stratified_random_672,probability_sample,distance_stratified_random,preferred,D95_100,3,672,7.6282636724071,45.02038718770009,1391950.0,4986150.0,0.971443141254462,1.1363450035288434,0.0819769994378721,5,3,False,0.0168281489036206,0.0031173247685622,19.031945999913543,0.2378209809913021,0.2402314283563695,0.0239430866688613,0.0427353159708168,500.0,0.0502391540806543,0.0476143180952035,0.0476143180952035,0.0276301155927953,0.0271899562607442,0.0271899562607442,-0.000440159332051,0.0
C3_distance_stratified_random_954,probability_sample,distance_stratified_random,preferred,D00_25,3,954,7.656094386870521,45.024318903972386,1394150.0,4986550.0,0.0448750637429882,0.3461261233747018,0.7032529006974225,5,3,False,0.0832908380078191,0.0154291831979343,12.36843133855606,0.1574571638040007,0.4048360904579361,0.0255229482738728,0.0968562491582096,500.0,0.0287684822466576,0.0644612375117986,0.0525817476188116,0.009538512419559,0.047675154112333,0.0338220700148782,0.0381366416927739,0.0138530840974547
C3_distance_stratified_random_9978,probability_sample,distance_stratified_random,preferred,D50_75,3,9978,7.711520829482296,45.09967172921649,1398650.0,4994850.0,0.7251402345741969,0.8089844794340366,0.1677312014300433,1,3,False,0.0832908380078191,0.0154291831979343,11.099381225610426,0.1377828700274976,0.24915539828223,0.0018167220464347,0.2704798445866843,500.0,0.0604020018416941,0.0903001084663861,0.0175236304905911,0.043220913623259,0.0814096902784482,0.0042966483699055,0.0381887766551891,0.0771130419085427
C3_risk_boundary_9673,purposive_stress,risk_boundary,not_applicable,D75_95,3,9673,7.728099308685618,45.097157159923306,1399950.0,4994550.0,0.9224885262621112,0.9910338554773912,0.000407405631213,1,3,False,0.0,0.0,6.814983857727562,0.1629499942162259,0.3399054801319531,0.0233352730726691,0.2819140024487414,500.0,0.0572585261143298,0.0848380137937875,0.0241995131842804,0.0369848744228374,0.0748977781309283,0.0076635888203442,0.0379129037080908,0.067234189310584
C3_risk_cleanup_8864,purposive_stress,risk_cleanup,not_applicable,D75_95,3,8864,7.713013943013888,45.08978679937965,1398750.0,4993750.0,0.9235084140744518,0.992290124746512,0.0676256846248402,4,4,True,0.0,0.0,10.860575556059452,0.3123886666850785,0.468706248898896,0.0607291351395309,0.1166344583328394,500.0,0.0561716222086607,0.0323896087965085,0.0323896087965085,0.0343751214194617,0.013765186714927,0.013765186714927,-0.0206099347045347,0.0
C3_risk_morphology_extreme_11039,purposive_stress,risk_morphology_extreme,not_applicable,D95_100,3,11039,7.708776594998907,45.10864232005814,1398450.0,4995850.0,1.0,2.632436836512123,0.0274885050890934,1,1,True,0.0,0.0,27.335584401226782,0.0107955160968782,0.0976257846738172,0.0031734479306499,0.3960388766724902,500.0,0.1051092060928987,0.1408349206903059,0.0386855960593313,0.0966193775057003,0.1346130964304499,0.0187690177525958,0.0379937189247495,0.115844078677854
