precision,comparator,period,variable,scope,cluster,n_supports,weighted_mean_support_rmse,weighted_pooled_hourly_rmse,weighted_median_support_rmse,weighted_p95_support_rmse,observed_maximum_support_rmse,unweighted_mean_support_rmse
precision1,assigned_class_medoid,summer,relative_humidity,class,4.0,15,0.0961254215948864,0.103096807370854,0.0909121956747518,0.1555807616840626,0.2503503919736983,0.1070885588341002
precision1,assigned_class_medoid,summer,relative_humidity,class,5.0,15,0.1060683879080838,0.1238456573076364,0.1094571802895538,0.2116431078494695,0.384457249963088,0.1284355106182151
precision1,assigned_class_medoid,summer,relative_humidity,class,6.0,15,0.4725930094427942,0.5565052380865171,0.4669983208684899,1.1513208143199438,1.1513208143199438,0.45637973850325
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,citywide_nonmedoid,,105,0.0370858869256542,0.0415089663038491,0.0336731314466113,0.0606581991328466,0.1879692064847882,0.0443619242660514
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,0.0,15,0.0294422664828452,0.0306334844402973,0.0309973851650005,0.0407131329983681,0.040880562627349,0.0300225458435751
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,1.0,15,0.0294047557944944,0.0305589038076093,0.0270767646510962,0.042572128871463,0.0606957235404768,0.0324535913252505
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,2.0,15,0.0326304468189349,0.0343274305426739,0.0316515638416931,0.0606581991328466,0.0606581991328466,0.0345875487734818
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,3.0,15,0.0353268041525902,0.0366589508316574,0.0398082837302981,0.0502724815815927,0.0536890460075627,0.0381183455842886
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,4.0,15,0.0393473737450556,0.0405757482461555,0.0367138295786684,0.0584405727765231,0.0725228435841429,0.0423296138949614
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,5.0,15,0.040490385928394,0.044901297190312,0.0417621855955779,0.0722712457968907,0.107187084288413,0.0454867673935321
precision1,assigned_class_medoid,summer_day,dry_bulb_temperature,class,6.0,15,0.0891146033592091,0.0992242807691422,0.0885524141661016,0.1879692064847882,0.1879692064847882,0.0875350570472705
precision1,assigned_class_medoid,summer_day,relative_humidity,citywide_nonmedoid,,105,0.077556654824863,0.0979412688020915,0.0650766676896998,0.148612281458715,0.6272246382376782,0.1025255755974413
precision1,assigned_class_medoid,summer_day,relative_humidity,class,0.0,15,0.0565194749852529,0.0588999279613487,0.0604325633881973,0.0777354816038476,0.0777647660206348,0.0577055130159606
precision1,assigned_class_medoid,summer_day,relative_humidity,class,1.0,15,0.0589049377341737,0.0627502159414122,0.0534765835753605,0.0901072018898743,0.1622923221049217,0.0680715350642783
precision1,assigned_class_medoid,summer_day,relative_humidity,class,2.0,15,0.0665507432582609,0.0723678810533268,0.0596742828731932,0.148612281458715,0.148612281458715,0.0716664252202936
precision1,assigned_class_medoid,summer_day,relative_humidity,class,3.0,15,0.068020269035839,0.0714017389337791,0.0739221270954573,0.1138016681430072,0.1138016681430072,0.0742741265287118
precision1,assigned_class_medoid,summer_day,relative_humidity,class,4.0,15,0.0754916438298573,0.0796843495825142,0.0713836705087413,0.1216163156535798,0.1901969068833091,0.0841325452701989
precision1,assigned_class_medoid,summer_day,relative_humidity,class,5.0,15,0.0863932753029062,0.1032164549585357,0.0837693511341431,0.1918536745089511,0.3498243118771591,0.1040229790398178
precision1,assigned_class_medoid,summer_day,relative_humidity,class,6.0,15,0.2651858661138884,0.3113099410664885,0.2691736663557204,0.6272246382376782,0.6272246382376782,0.2578059050428283
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,citywide_nonmedoid,,105,0.0582764893868641,0.0695327427943752,0.0545723563400256,0.1019393012008914,0.4180196612104148,0.0738890442435355
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,0.0,15,0.0599518150309704,0.0634838847976058,0.0545723563400255,0.0897273749838566,0.0897273749838566,0.0601228478552983
