sample_id,selection_group,selection_role,selection_tier,cluster,cluster_medoid_grid_id,four_file_representative_cluster,grid_id,grid_row,grid_col,center_lon,center_lat,center_x_3003,center_y_3003,macroblock_id,distance_stratum,distance_percentile,distance_to_medoid_k7,second_nearest_cluster,second_nearest_distance,assignment_margin,relative_assignment_margin,cleanup_cluster,cleanup_changed,spatial_component_id,spatial_component_size,same_label_neighbor_share,stratum_population,stratum_sample_size,inclusion_probability,within_cluster_weight,citywide_nonmedoid_weight,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover,charlength_m,road_frac,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac
C1_distance_stratified_random_6367,probability_sample,distance_stratified_random,preferred,1,3788,1,6367,70,127,7.738838752105123,45.07117158985421,1400750.0,4991650.0,7_12,D00_25,0.0244852531997774,0.147398141845423,0,1.3748008416919115,1.2274026998464886,0.8927858222256932,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0293377933204771,6.679357906658355,0.0724922931219934,0.0,0.4175518930380423,500,0.0969581828113275,41.75518930380423,0.0,0,0.0,,123,0.869026786574356
C1_distance_stratified_random_1692,probability_sample,distance_stratified_random,preferred,1,3788,1,1692,27,104,7.710498535608889,45.03214777679598,1398450.0,4987350.0,2_10,D25_50,0.4574290484140234,0.4874845004716052,0,0.9917701859920104,0.504285685520405,0.5084703015305881,1,False,C1_component_0003,10,0.5,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0112222440262054,8.831664331871867,0.025523451304929,0.0,0.3333628197059724,500,0.0903663248034094,33.33628197059724,0.0,0,0.0,,27,0.9799875267895364
C1_distance_stratified_random_2099,probability_sample,distance_stratified_random,preferred,1,3788,1,2099,31,88,7.690110056014237,45.03551633287047,1396850.0,4987750.0,3_8,D25_50,0.2615470228158041,0.3408941837246948,0,1.134964060020719,0.7940698762960239,0.69964319071172,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0803150659039946,7.096912695876589,0.2096465071687761,0.002149154075339,0.3599982812962677,500,0.1017145747429932,36.21474353716068,0.2149154075339065,27,1.08,4.62962962962963,291,0.9179054058952726
C1_distance_stratified_random_3675,probability_sample,distance_stratified_random,preferred,1,3788,1,3675,46,100,7.705036111833724,45.04918915951141,1398050.0,4989250.0,4_10,D25_50,0.3411240957150807,0.3984544914488463,0,1.661440097831888,1.2629856063830416,0.7601752287254814,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0794515536551087,8.568985398410508,0.2200377953626222,0.0,0.4670633536407309,500,0.0913682368514541,46.70633536407309,0.0,0,0.0,,262,0.9205242176246664
C1_distance_stratified_random_3393,probability_sample,distance_stratified_random,preferred,1,3788,1,3393,43,114,7.722869692980484,45.04668955945221,1399450.0,4988950.0,4_11,D50_75,0.5425709515859767,0.5475736506969856,0,0.8215438910534698,0.2739702403564839,0.3334821709953566,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0225813833502177,7.28818212701747,0.0545921953737687,0.0,0.3051664811482021,500,0.0528420577864262,30.51664811482021,0.0,0,0.0,,59,0.8642751149855019
C1_distance_stratified_random_4826,probability_sample,distance_stratified_random,preferred,1,3788,1,4826,57,133,7.746714725524464,45.0595561757998,1401350.0,4990350.0,5_13,D50_75,0.674457429048414,0.6461365247443994,0,0.7257141221945683,0.0795775974501685,0.1096541944223504,1,False,C1_component_0007,40,0.5,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.0434258788146865,6.44375469313736,0.1085612656765592,0.0,0.2836747613878339,500,0.0938533012763361,28.36747613878339,0.0,0,0.0,,182,0.9471889405272176
C1_distance_stratified_random_6237,probability_sample,distance_stratified_random,preferred,1,3788,1,6237,69,122,7.732508510384487,45.07020131654973,1400250.0,4991550.0,6_12,D50_75,0.6833611574846967,0.6538689101560523,0,0.739372456499272,0.0855035463432193,0.1156434021738589,1,False,C1_component_0002,1289,1.0,449.0,3.0,0.0066815144766146,0.0832869597477276,0.0141381699099439,0.055703707116099,7.739524860229092,0.1701645815648012,0.0,0.2820342141812582,500,0.109826296299154,28.203421418125817,0.0,0,0.0,,243,0.8825028579894724
C1_distance_stratified_random_304,probability_sample,distance_stratified_random,preferred,1,3788,1,304,9,50,7.642348750601823,45.0151545327433,1393050.0,4985550.0,0_5,D75_95,0.905954368391764,0.9515438646090552,0,2.289494235717771,1.337950371108716,0.584386870355784,1,False,C1_component_0001,48,1.0,360.0,3.0,0.0083333333333333,0.0667779632721202,0.0113357264311354,0.0900030096079102,8.300935436240495,0.137998199413107,0.0004337349215478,0.5994420016002623,500,0.1603726594365027,59.98757365218101,0.0433734921547805,5,0.2,14.4,100,0.9961909263756864
C1_distance_stratified_random_1668,probability_sample,distance_stratified_random,preferred,1,3788,1,1668,27,80,7.680039134610149,45.03179964944444,1396050.0,4987350.0,2_8,D75_95,0.773511407902059,0.7412072497100203,3,0.9994056997947104,0.2581984500846899,0.2583519887246259,1,False,C1_component_0002,1289,0.75,360.0,3.0,0.0083333333333333,0.0667779632721202,0.0113357264311354,0.1169737844530792,9.140008257340256,0.324654329451803,0.007276213095759,0.3092070701279612,500,0.1381881695642219,31.648328322372027,0.7276213095759057,55,2.2,15.24074074074074,291,0.8648050642777733
C1_distance_stratified_random_8117,probability_sample,distance_stratified_random,preferred,1,3788,1,8117,84,108,7.714425742479878,45.08350157038573,1398850.0,4993050.0,8_10,D75_95,0.8597662771285476,0.8707922155263186,2,1.1814748918338105,0.3106826763074903,0.2629617255981364,1,False,C1_component_0011,27,0.75,360.0,3.0,0.0083333333333333,0.0667779632721202,0.0113357264311354,0.0798606355884673,6.7761003760071965,0.2052502636806164,0.0440382259004401,0.3886857405420467,500,0.2951874040934488,43.27239664424869,4.403822590044014,519,20.76,14.453703703703704,250,0.9975444967971144
