grid_id,fit_eligible,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover
999,True,0.4142739707377339,9.50052105081623,0.0795415738955332,0.01041764945617292,0.059806505947708685
1000,True,0.5711018349818905,9.449083963554584,0.0931001241793455,0.0033640874863262726,0.024696344728678026
1001,True,0.7209136202154608,9.331077164098122,0.1076561664029636,0.0004061418886211104,0.010301065063423688
1002,True,0.7923357123549336,9.353029855445309,0.1125673580151188,0.0,0.0119249309414214
1003,True,0.7887509038366299,9.723194137262372,0.1310608833170846,0.0,0.0137816555959868
1004,True,0.7656253088649336,10.358705130715942,0.1449514773035286,0.0,0.0228932308329838
1005,True,0.7141721030354097,10.612164077586526,0.1397259679203037,0.0006708155074551469,0.028309958478081956
1006,True,0.6512740760311124,10.820435256943936,0.1575618994135554,0.002869247853032517,0.04155875270283868
1007,True,0.5451657934350939,11.01472858981026,0.1601122675657676,0.004711974129297276,0.04736146987812982
1008,True,0.4813614449307122,11.958937024870574,0.1695719849136027,0.007037385193857859,0.04484053846015814
1009,True,0.4491235040576323,14.442966847245078,0.2028349000872593,0.012386931536336488,0.031190207185955013
1010,True,0.4636148567532576,17.23189583157815,0.2453877017845664,0.015470231214382657,0.02212613448009324
1011,True,0.4833122371163579,19.20542209150422,0.2261253278420734,0.018474662474828103,0.005384138909727297
1012,True,0.5540792183667577,19.553798887285897,0.2142165586080695,0.021560308635454044,0.0
1013,True,0.5742655567641362,19.19182826407587,0.2174811761016438,0.024643266660973138,0.0
1014,True,0.5298801577041656,18.198059817955897,0.2588040749331757,0.023832028938015545,0.0017367881049259563
1015,True,0.5114302527674436,16.462629177922548,0.2629035850579123,0.02468658304288174,0.0032070040706968575
1016,True,0.504594458631408,15.421255637130953,0.2845301032135403,0.02377710405803143,0.0029780714559272704
1017,True,0.4244047791304703,15.526270376786806,0.2866008251207763,0.04244766603273334,0.00540343430856606
1018,True,0.346184659647978,16.06008584239918,0.3034634786966226,0.06565896877056529,0.0
1019,True,0.2938011608659479,16.955895320580417,0.3304405911636772,0.08336136294844222,0.0
1020,True,0.2203850022099673,19.349772068652577,0.4335579366641977,0.1053465334242403,0.0063569743050038985
1021,True,0.1686895887637972,22.47046129488222,0.6421727164642288,0.11992041412898125,0.030215627106328746
1022,True,0.2031684621333287,20.11722678912138,0.7277140411728232,0.11059937670372962,0.03216690959350248
1023,True,0.2123740169399911,19.24518173508231,0.7235684131186281,0.09647337919426767,0.09457839431780492
1024,True,0.228843341694077,18.772180458101182,0.7695191725165355,0.08661113484065107,0.12016585793989994
1025,True,0.2364871807261541,18.411290378481088,0.7733146719641939,0.07358178636615269,0.1245464984154974
1026,True,0.1920316376567895,18.584720291838615,0.6355234537413302,0.08013200973824657,0.16982634814597014
1027,True,0.1344306399189126,19.97595528929778,0.5201512962004906,0.09420340927311627,0.26605671762451816
1028,True,0.1029508994407903,19.591965832016765,0.4218978754806145,0.12416254268844984,0.30094968396272126
1029,True,0.0744711526976246,19.143118022593615,0.3152367798157546,0.12976361229102268,0.3336069021879675
1030,True,0.0618985114361404,17.958768233947772,0.2580351575649562,0.12705269275169495,0.31863164128514526
1031,True,0.1026425607005256,14.476545743072418,0.3208904406557663,0.10703062291786553,0.27606183416824875
1032,True,0.1540929441808412,13.557758345850033,0.4379347646628153,0.08989326472137461,0.2035332928801662
1033,True,0.1729936195324699,13.974860838973038,0.513968374300638,0.05356527312386909,0.13111526906976328
1034,True,0.1639190973555197,13.416503905400631,0.4558090126597947,0.03578648418091203,0.08011252971173957
1035,True,0.1462079840809855,13.256066708222448,0.3902383990917187,0.024932912428572426,0.08119164819340957
1036,True,0.1412779398029639,16.267184942480213,0.3223158767685729,0.01953749356439442,0.06647105771168918
1037,True,0.0883728308060937,18.421103005361417,0.2017534444569171,0.008325555239674634,0.07124778390532976
1038,True,0.1023941246027456,20.69140014674848,0.2081443171123583,0.00020073910339688883,0.07191128950636311
1039,True,0.1208232695304244,28.82838489826333,0.4009796534973421,0.0,0.0733973917495491
1040,True,0.1503258179395167,25.446587174191233,0.5346716114763749,0.0013236396253412822,0.07353056416139872
1041,True,0.1456805593020859,24.045183851480303,0.719719380051954,0.001976143084450625,0.07446737542459977
1042,True,0.1761763495968883,22.94358564016354,0.7919749157020127,0.011990532151091728,0.04947434711462927
1043,True,0.1840802275456998,23.124700707089644,0.8059210064020924,0.02636530930685811,0.07149840689151649
1044,True,0.173222186995821,18.1246869142684,0.5626307159659399,0.053661620106826534,0.12721428248110875
1045,False,0.1658381236617114,18.895106758870845,0.5098284797002747,0.05579768245204107,0.19183129443524882
1046,False,0.1343970320932823,19.018455359701896,0.3665075973212079,0.0738879909580705,0.28001826996604506
1047,False,0.0962226207478188,20.698423168670736,0.2377379940857314,0.07391588459460227,0.30121613774884304
1048,False,0.0559336148492044,14.880693816940006,0.118834020847508,0.0644752570497525,0.3348185088329334
1049,False,0.0578346826548841,7.523857821135819,0.0903359210039857,0.044602275436902185,0.3379660499473115
1050,True,0.0335128401944328,7.381682640318166,0.0781314750233925,0.04114257346634612,0.31005859768403304
1051,True,0.0318486862067899,6.321691558446981,0.0806702880016825,0.022399761501207482,0.3140520661833394
1052,True,0.045246072014137,6.079238514991963,0.1127116438490363,0.0123574787980346,0.3958522496804613
1053,True,0.0550794703843242,6.412919543678242,0.1416912927679318,0.007423329187117983,0.4185769778273438
1054,True,0.0517260000161795,6.341328129693824,0.138156952311892,0.0,0.4397910459541709
1055,False,0.0520825371249231,6.417469765882556,0.1440186677554589,0.0,0.4864565850141695
1056,False,0.0537836497504988,6.68873175447435,0.1540322378628184,0.0,0.4364758596553108
1057,False,0.0481115642519767,6.990942867943657,0.1428545537720401,0.0,0.3734719338325384
1058,False,0.0438664683157682,6.9972359024316555,0.1310696326512781,0.0,0.3132698772278621
1059,False,0.0346404014810006,7.152124709939673,0.1061276575653918,0.0,0.2613297966389364
1060,False,0.0292754923217263,6.9292585629394,0.0852698776265427,0.0,0.2085329567190575
1061,False,0.0189249662700666,6.895894395829522,0.0546972514019996,0.0,0.1939307332578577
1062,False,0.0141922838619651,7.041261806284914,0.0404565651048165,0.0,0.1749647995444936
1063,False,0.0075579121717742,6.78660490616286,0.02139025087191,0.0,0.2007121757373138
1064,False,0.0177305380679984,6.336115942951534,0.0481009144153462,0.0,0.2413462788647305
1065,False,0.0275451832198238,6.238216872244232,0.0712813676065988,0.0,0.3092007372472548
1066,False,0.0359759337943237,6.110786712715793,0.0891582132459654,0.0,0.3448653991329525
1067,False,0.0417980391913109,6.0102768646553475,0.105198295646565,0.0,0.3874661686988144
1068,False,0.0492628198673422,5.862242207676165,0.1238370859836795,0.0,0.3944013097563979
1069,False,0.0468439824553956,5.642502410917728,0.1117048169100642,0.0,0.390630556604803
1070,False,0.0388147501745979,5.418007399354473,0.090956413839926,0.0,0.3556055207636748
1071,False,0.0320254171394031,5.316067246345524,0.0743666424984739,0.0,0.3488547694882141
1072,False,0.0304168241019491,4.980225001429455,0.0628468672717159,0.0,0.3690171418732418
1073,False,0.0238556894244988,4.924998247826752,0.0454448401168666,0.0,0.341933492583987
1074,False,0.0157335897079378,4.795269184363644,0.0286664108942057,0.0,0.308287339258922
1075,False,0.0138764774452523,4.948463677189035,0.0255740479691475,0.0,0.2632400161712068
1076,False,0.0201584127530055,5.498108382045894,0.0142866848851088,0.002231721385364144,0.039664829297758955
1077,False,0.0268404857592832,6.424207382463561,0.023164659788669,0.002231721385364144,0.06408424598476195
1078,False,0.0927726442196729,8.83070140825627,0.0535756937148898,0.002231721385364144,0.06080472775961596
1079,False,0.2085149942812248,9.45743776947079,0.0718282477577023,0.002231721385364144,0.05874207007704676
1080,True,0.3469723718130091,9.565343384216998,0.0844690045835213,0.001374943337179,0.056826166623082194
1081,True,0.5010910882268985,9.359280292701929,0.1056897037959632,1.455191522836685e-17,0.032353580551957785
