grid_id,grid_row,grid_col,center_x_3003,center_y_3003,center_lon,center_lat,fit_eligible,edge_support,qa_score,qa_reasons,exclusion_reason,assignment_status,building_fraction,avg_height_m,facade_to_site_ratio,uwg_tree_cover_fraction,uwg_grass_cover_fraction,road_fraction,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac,cluster_k4_provisional,cluster_k4_label,distance_to_medoid_k4,distance_ratio_p95_k4,outlier_gt_cluster_p99_k4,cluster_k7_provisional,cluster_k7_label,distance_to_medoid_k7,distance_ratio_p95_k7,outlier_gt_cluster_p99_k7,cluster_k8_provisional,cluster_k8_label,distance_to_medoid_k8,distance_ratio_p95_k8,outlier_gt_cluster_p99_k8,epw_category,epw_category_name,representative_k7_cluster,representative_grid_id,epw_filename,release_version,archived_building_fraction,archived_avg_height_m,archived_facade_to_site_ratio,archived_uwg_tree_cover_fraction,archived_uwg_grass_cover_fraction,canopy_area_delta_m2,canopy_corrected_gt_2p5_m2,archived_k4,archived_k7,archived_k8,c6_out_of_domain,epw_recommendation_available,recommendation_status
21,2,48,1392850.0,4984850.0,7.639960431867218,45.00882488898976,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0087788820258676,7.077234294919629,0.0260733407528929,0.0157254607221905,0.3870138573051835,0.0977537034499739,40.27393180273741,1.5725460722190563,127,5.08,14.953488372093023,46,0.9893189161468624,0.0,"open, low-rise, green",0.37220896503995377,0.2246082205901919,False,1.0,"open, low-rise, green",0.3643131390982758,0.30495868619916733,False,2.0,"open, low-rise, green",0.33737607640922834,0.3123061827073286,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0087788820258676,7.077234294919629,0.0260733407528929,0.0157254607221905,0.3870138573051835,4.547473508864641e-13,False,0.0,1.0,2.0,False,True,provisional
22,2,49,1392950.0,4984850.0,7.641229034235904,45.00883999582919,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0280273762904382,5.996634297123911,0.0370243674640594,0.0163628002445198,0.3835648933385762,0.0898065003510885,39.99276935830961,1.6362800244519884,126,5.04,13.883720930232558,53,0.9999999999999998,0.0,"open, low-rise, green",0.3894229918077546,0.23499596587486726,False,1.0,"open, low-rise, green",0.38969750460860086,0.326207392120641,False,2.0,"open, low-rise, green",0.3460511068915517,0.3203365851106035,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0280273762904382,5.996634297123911,0.0370243674640594,0.0163628002445198,0.3835648933385762,0.0,False,0.0,1.0,2.0,False,True,provisional
23,2,50,1393050.0,4984850.0,7.642497637605362,45.00885508858091,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0258181731014132,5.444714694120679,0.0336261371568281,0.0192169542361503,0.3812773971499562,0.0898001018762463,40.049435138610654,1.9216954236150317,132,5.28,11.276923076923078,55,1.0,0.0,"open, low-rise, green",0.47353725739729813,0.2857544303258516,False,1.0,"open, low-rise, green",0.4754002595970533,0.39794732340507727,False,2.0,"open, low-rise, green",0.4309943785955102,0.398967853856395,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0258181731014132,5.444714694120679,0.0336261371568281,0.0192169542361503,0.3812773971499562,0.0,False,0.0,1.0,2.0,False,True,provisional
24,2,51,1393150.0,4984850.0,7.643766241974655,45.00887016724487,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0268420331735125,5.286413740558643,0.0331861171141344,0.0215835210435881,0.3529891620805543,0.0862373342325968,37.45726831241426,2.158352104358815,141,5.64,9.24074074074074,55,1.0,0.0,"open, low-rise, green",0.5371348289512365,0.3241321662813899,False,1.0,"open, low-rise, green",0.5766284360010426,0.48268325074194623,False,2.0,"open, low-rise, green",0.4958536434691255,0.4590075272128199,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0268420331735125,5.286413740558643,0.0331861171141344,0.0215835210435881,0.3529891620805544,0.0,False,0.0,1.0,2.0,False,True,provisional
25,2,52,1393250.0,4984850.0,7.645034847342858,45.00888523182113,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0264538534188583,5.325764298426104,0.0304546280998896,0.0217739686168115,0.3286181271864919,0.0874205957738661,35.03920958033036,2.1773968616811556,143,5.72,8.767857142857142,44,1.0,0.0,"open, low-rise, green",0.5802309965207785,0.3501384004703286,False,1.0,"open, low-rise, green",0.6467460816085675,0.5413772224630194,False,2.0,"open, low-rise, green",0.5412466664520291,0.5010274649636547,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0264538534188583,5.325764298426104,0.0304546280998896,0.0217739686168115,0.3286181271864919,9.094947017729282e-13,False,0.0,1.0,2.0,False,True,provisional
26,2,53,1393350.0,4984850.0,7.646303453709032,45.00890028230956,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0251512545174288,5.429124678364412,0.0247167525504956,0.0178352585068975,0.3716427351601324,0.089489319750521,38.947799366703,1.783525850689757,117,4.68,8.5625,26,1.0,0.0,"open, low-rise, green",0.46241937489391494,0.27904538234376536,False,1.0,"open, low-rise, green",0.48060129731786816,0.4023010001188456,False,2.0,"open, low-rise, green",0.41814292576299555,0.38707137257922947,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0251512545174288,5.429124678364412,0.0247167525504956,0.0178352585068975,0.3716427351601324,1.8189894035458565e-12,False,0.0,1.0,2.0,False,True,provisional
27,2,54,1393450.0,4984850.0,7.647572061072244,45.00891531871017,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0145305947482862,12.38369356129453,0.0331800393784403,0.0228043164603066,0.3539842844832818,0.1319037744034123,37.67886009435885,2.2804316460306677,170,6.8,10.528455284552846,17,0.8798234227603697,0.0,"open, low-rise, green",0.8443999993191501,0.5095502772026866,False,1.0,"open, low-rise, green",0.8635141991726135,0.7228291473258386,False,2.0,"open, low-rise, green",0.8460973576925309,0.7832251734980566,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0145305947482862,12.38369356129453,0.0331800393784403,0.0228043164603066,0.3539842844832819,9.094947017729282e-13,False,0.0,1.0,2.0,False,True,provisional
28,2,55,1393550.0,4984850.0,7.648840669431565,45.00893034102296,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0294482586480537,9.68222999644018,0.0495532612752902,0.027501976209786,0.3239704804945864,0.1455776347551298,35.14724567043725,2.75019762097861,204,8.16,11.58695652173913,29,0.8662315427540555,0.0,"open, low-rise, green",0.6886444396329275,0.4155601200757711,False,1.0,"open, low-rise, green",0.744297721707546,0.6230356004034687,False,2.0,"open, low-rise, green",0.6753619873966406,0.6251768841298624,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0294482586480537,9.68222999644018,0.0495532612752902,0.027501976209786,0.3239704804945864,9.094947017729282e-13,False,0.0,1.0,2.0,False,True,provisional
29,2,56,1393650.0,4984850.0,7.6501092787860605,45.00894534924784,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0684514777259766,8.60367878389222,0.120115239757823,0.0232655719167158,0.2648006411871439,0.1680328579789492,28.80662131038598,2.3265571916715864,176,7.04,11.784090909090908,100,0.942212707397084,0.0,"open, low-rise, green",0.7428228314018567,0.4482538843658151,False,0.0,"open, low-rise, mixed-green",0.8007650784804624,0.9400804505644518,False,2.0,"open, low-rise, green",0.7329176999592343,0.6784557208355827,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0684514777259766,8.60367878389222,0.120115239757823,0.0232655719167158,0.2648006411871439,1.8189894035458565e-12,False,0.0,0.0,2.0,False,True,provisional
30,2,57,1393750.0,4984850.0,7.651377889134796,45.00896034338484,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.1239808211303864,7.6418859816418205,0.1946377196573455,0.0231609022338416,0.1954244274983573,0.1823781973198852,21.8585329732199,2.3160902233841614,187,7.48,11.945121951219512,232,0.9283463670414605,1.0,"open, low-rise, mixed-green",0.527084361438846,0.4192204643257601,False,0.0,"open, low-rise, mixed-green",0.6787630805139452,0.7968528095242523,False,0.0,"open, low-rise, mixed-green",0.7347965495895104,0.8361907983432256,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.1239808211303864,7.6418859816418205,0.1946377196573455,0.0231609022338416,0.1954244274983574,1.8189894035458565e-12,False,1.0,0.0,0.0,False,True,provisional
